ticker,company,sector,industry,hq,date_first_added,cik,founded
MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,0000066740,"1902
",
AOS,A. O. Smith,Building Products,"Milwaukee, Wisconsin",2017-07-26,"0000091142
","1916
",
ABT,Abbott,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0000001800,"1888
",
ABBV,AbbVie,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,"2013 (1888)
",
ACN,Accenture,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,"1989
",
ATVI,Activision Blizzard,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,0000718877,"2008
",
ADM,ADM,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,"0000007084
","1902
",
ADBE,Adobe Inc.,Application Software,"San Jose, California",1997-05-05,0000796343,"1982
",
ADP,ADP,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,"0000008670
","1949
",
AAP,Advance Auto Parts,Automotive Retail,"Raleigh, North Carolina",2015-07-09,0001158449,"1932
",
AES,AES Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,"1981
",
AFL,Aflac,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,"1955
",
A,Agilent Technologies,Health Care Equipment,"Santa Clara, California",2000-06-05,0001090872,"1999
",
APD,Air Products and Chemicals,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,"1940
",
AKAM,Akamai,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,"1998
",
ALK,Alaska Air Group,Passenger Airlines,"SeaTac, Washington",2016-05-13,0000766421,"1985
",
ALB,Albemarle Corporation,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,"1994
",
ARE,Alexandria Real Estate Equities,Office REITs,"Pasadena, California",2017-03-20,0001035443,"1994
",
ALGN,Align Technology,Health Care Supplies,"Tempe, Arizona",2017-06-19,0001097149,"1997
",
ALLE,Allegion,Building Products,"New York City, New York",2013-12-02,0001579241,"1908
",
LNT,Alliant Energy,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,"1917
",
ALL,Allstate,Property & Casualty Insurance,"Glenview, Illinois",1995-07-13,0000899051,"1931
",
